id;user_id;test_type;questions_total;questions_completed;progress_percentage;highest_milestone_reached;last_question_at;completed_at;created_at;updated_at
e6fe3049-fcf1-4f04-9ee5-c62d08063668;bb4238c8-c8f7-4684-b950-22cedd128e18;discovery;17;17;100;100;2026-04-30 04:01:31.243152+00;2026-04-30 04:01:26.046444+00;2026-04-30 03:55:00.428277+00;2026-04-30 04:01:31.243152+00
e40283e8-a944-4769-82d9-ff6221e4afb7;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;17;17;100;100;2026-04-23 11:58:48.152391+00;2026-04-23 11:58:41.291813+00;2026-04-23 11:53:24.60401+00;2026-04-23 11:58:48.152391+00
e00c387d-8388-4d02-8eac-0f3d1330076e;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;psychometric;22;22;100;100;2026-04-23 12:08:54.923754+00;2026-04-23 12:08:53.221552+00;2026-04-23 12:01:52.282146+00;2026-04-23 12:08:54.923754+00
23cfd3f9-55ca-489f-88a3-ff2f648f6cee;bb4238c8-c8f7-4684-b950-22cedd128e18;psychometric;22;22;100;100;2026-04-30 04:04:55.366375+00;2026-04-30 04:04:53.298864+00;2026-04-30 04:01:36.222401+00;2026-04-30 04:04:55.366375+00
12a5072a-c9ec-4a34-b3db-16ffdcea8af8;41932637-2a23-4d2c-8357-ef4d36095fb5;discovery;17;17;100;100;2026-04-30 05:42:34.778651+00;2026-04-30 05:42:34.563294+00;2026-04-30 05:42:34.563294+00;2026-04-30 05:42:34.778651+00
4fd813b5-65a0-4596-934d-620739fb8a6b;41932637-2a23-4d2c-8357-ef4d36095fb5;psychometric;22;22;100;100;2026-04-30 05:43:24.515657+00;2026-04-30 05:43:24.515657+00;2026-04-30 05:43:24.515657+00;2026-04-30 05:43:24.515657+00
