id;run_type;items_inserted;status;notes;created_at
012a0a9f-da09-488e-8b5c-7c5300ad5423;firecrawl;0;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":4,""inserted"":0},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":4,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":4,""inserted"":0},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":4,""inserted"":0},{""query"":""free communication skills course for students India 2026"",""fetched"":4,""inserted"":0},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":4,""inserted"":0},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":4,""inserted"":0},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":4,""inserted"":0}]";2026-05-02 02:14:32.589155+00
dd8d5943-52cd-488e-b777-d3e26547f748;firecrawl;24;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":4,""inserted"":4},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":4,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":4,""inserted"":4},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":4,""inserted"":4},{""query"":""free communication skills course for students India 2026"",""fetched"":4,""inserted"":4},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":4,""inserted"":4},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":4,""inserted"":4},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":4,""inserted"":0}]";2026-05-02 02:15:14.245951+00
a98694b7-dee0-4b4e-b748-a475194520bb;firecrawl;30;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":5,""inserted"":5},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":5,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":5,""inserted"":5},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":5,""inserted"":5},{""query"":""free communication skills course for students India 2026"",""fetched"":5,""inserted"":5},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":5,""inserted"":5},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":5,""inserted"":5},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":5,""inserted"":0}]";2026-05-04 04:00:18.375141+00
5b062653-b9d6-4a1e-aa76-6705b1693aa3;firecrawl;30;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":5,""inserted"":5},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":5,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":5,""inserted"":5},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":5,""inserted"":5},{""query"":""free communication skills course for students India 2026"",""fetched"":5,""inserted"":5},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":5,""inserted"":5},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":5,""inserted"":5},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":5,""inserted"":0}]";2026-05-11 04:00:15.564016+00
31067083-ca66-4652-af2a-beed835a6415;firecrawl;30;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":5,""inserted"":5},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":5,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":5,""inserted"":5},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":5,""inserted"":5},{""query"":""free communication skills course for students India 2026"",""fetched"":5,""inserted"":5},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":5,""inserted"":5},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":5,""inserted"":5},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":5,""inserted"":0}]";2026-05-18 04:00:17.460013+00
88bf6884-33d5-42bf-a75f-c85912c1de0f;firecrawl;30;success;"[{""query"":""free python course beginner India site:coursera.org OR site:nptel.ac.in OR site:freecodecamp.org"",""fetched"":5,""inserted"":5},{""query"":""free SQL tutorial beginner India 2026 site:youtube.com OR site:freecodecamp.org"",""fetched"":5,""inserted"":0},{""query"":""free UX design fundamentals course India site:coursera.org OR site:figma.com"",""fetched"":5,""inserted"":5},{""query"":""free digital marketing course India 2026 site:google.com OR site:hubspot.com"",""fetched"":5,""inserted"":5},{""query"":""free communication skills course for students India 2026"",""fetched"":5,""inserted"":5},{""query"":""career guidance for students India 2026 explainer article"",""fetched"":5,""inserted"":5},{""query"":""entrepreneurship basics for beginners India 2026 free course"",""fetched"":5,""inserted"":5},{""query"":""AI tools for productivity beginner tutorial India 2026"",""fetched"":5,""inserted"":0}]";2026-05-25 04:00:13.380184+00
